epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.763,0.93456,1.66221,1.32541,0.68356,0.67484,0.71294,0.49536,0.94906,1.67799,1.37242,0.000184583,0.000184583,0.000184583
2,514.601,0.99385,1.2074,1.33876,0.76532,0.83071,0.87595,0.63516,0.8923,1.00963,1.28054,0.000366254,0.000366254,0.000366254
3,767.337,0.99436,1.07743,1.32461,0.74402,0.75573,0.8144,0.60483,0.85795,1.12227,1.21951,0.000544256,0.000544256,0.000544256
4,1018.04,0.96009,0.98541,1.30111,0.85596,0.88994,0.92219,0.70066,0.80041,0.72875,1.17916,0.000539487,0.000539487,0.000539487
5,1269.24,0.93644,0.87666,1.2753,0.90003,0.8621,0.93665,0.73093,0.76438,0.67584,1.14896,0.000533982,0.000533982,0.000533982
6,1520.69,0.90329,0.82348,1.26488,0.85941,0.91791,0.94389,0.72391,0.76101,0.65644,1.15157,0.000528478,0.000528478,0.000528478
7,1771.92,0.86552,0.77575,1.23686,0.9157,0.93622,0.95881,0.76285,0.69627,0.53008,1.09168,0.000522974,0.000522974,0.000522974
8,2023.65,0.85235,0.74701,1.22,0.92866,0.91079,0.96172,0.77553,0.68722,0.51821,1.09085,0.000517469,0.000517469,0.000517469
9,2275.53,0.83306,0.69686,1.21487,0.90335,0.94208,0.96364,0.76665,0.71527,0.52871,1.0955,0.000511965,0.000511965,0.000511965
10,2527.09,0.83171,0.6774,1.21335,0.9027,0.94672,0.96114,0.77115,0.71188,0.49793,1.09252,0.00050646,0.00050646,0.00050646
11,2779.21,0.81751,0.65821,1.20325,0.91521,0.93453,0.96334,0.79115,0.65538,0.48271,1.06383,0.000500956,0.000500956,0.000500956
12,3030.73,0.79284,0.62327,1.18745,0.9164,0.94934,0.96795,0.79775,0.63681,0.44743,1.04069,0.000495452,0.000495452,0.000495452
13,3283.18,0.77806,0.62044,1.17543,0.93626,0.9544,0.9708,0.79326,0.65827,0.43767,1.05689,0.000489947,0.000489947,0.000489947
14,3534.25,0.76552,0.59938,1.17252,0.92742,0.92321,0.95901,0.78975,0.64826,0.46745,1.03617,0.000484443,0.000484443,0.000484443
15,3785.03,0.75408,0.59771,1.16216,0.90972,0.9681,0.96965,0.81057,0.61648,0.4174,1.02597,0.000478938,0.000478938,0.000478938
16,4037.2,0.75793,0.58401,1.16525,0.9244,0.94735,0.97159,0.80063,0.65521,0.44543,1.05793,0.000473434,0.000473434,0.000473434
17,4289.08,0.75206,0.56509,1.15486,0.94554,0.95963,0.97402,0.81437,0.61679,0.38907,1.02453,0.00046793,0.00046793,0.00046793
18,4541.4,0.74185,0.54367,1.14854,0.92464,0.96417,0.97471,0.82606,0.59824,0.39312,1.01543,0.000462425,0.000462425,0.000462425
19,4793.7,0.73574,0.5449,1.14383,0.95141,0.96253,0.97594,0.82947,0.60157,0.3697,1.00989,0.000456921,0.000456921,0.000456921
20,5045.46,0.72146,0.5329,1.13926,0.93751,0.9541,0.97192,0.81525,0.62606,0.39975,1.03313,0.000451416,0.000451416,0.000451416
21,5296.75,0.7237,0.51593,1.142,0.95021,0.97434,0.98376,0.84728,0.58581,0.3529,0.99332,0.000445912,0.000445912,0.000445912
